,FechaHora,Slope,,,
708,44464.43056,1,0,,
709,44464.4375,1,0,,
710,44464.44444,0,0,,
711,44464.45139,1,0,,
712,44464.45833,0,0,,
713,44464.46528,1,0,,
714,44464.47222,0,0,,
715,44464.47917,1,0,,
716,44464.48611,0,0,,
717,44464.49306,0,0,,
718,44464.5,0,0,,
719,44464.50694,1,0,,
720,44464.51389,0,0,,
721,44464.52083,0,0,,
722,44464.52778,0,0,,
723,44464.53472,-2,0,,
724,44464.54167,-2,0,,
725,44464.54861,-2,0,,
726,44464.55556,-2,0,,
727,44464.5625,-1,0,,
728,44464.56944,-1,0,,
729,44464.57639,-1,0,,
730,44464.58333,-1,0,,
731,44464.59028,-1,0,,
732,44464.59722,0,0,,
733,44464.60417,-1,0,,
734,44464.61111,1,0,,
735,44464.61806,2,0,,
736,44464.625,1,0,,
737,44464.63194,1,0,,
738,44464.63889,1,0,,
739,44464.64583,1,0,,
740,44464.65278,1,0,,
741,44464.65972,0,0,,
742,44464.66667,1,0,,
743,44464.67361,1,0,,
744,44464.68056,0,0,,
745,44464.6875,1,0,,
746,44464.69444,0,0,,
747,44464.70139,1,0,,
748,44464.70833,0,0,,
749,44464.71528,0,0,,
750,44464.72222,1,0,,
751,44464.72917,0,0,,
752,44464.73611,0,0,,
753,44464.74306,0,0,,
754,44464.75,0,0,,
755,44464.75694,1,0,,
756,44464.76389,0,0,,
757,44464.77083,0,0,,
758,44464.77778,0,0,,
759,44464.78472,0,0,,
760,44464.79167,1,0,,
761,44464.79861,0,0,,
762,44464.80556,0,0,,
763,44464.8125,0,0,,
764,44464.81944,0,0,,
765,44464.82639,0,0,,
766,44464.83333,0,0,,
767,44464.84028,0,0,,
768,44464.84722,0,0,,
769,44464.85417,0,0,,
770,44464.86111,0,0,,
771,44464.86806,0,0,,
772,44464.875,0,0,,
773,44464.88194,0,0,,
774,44464.88889,0,0,,
775,44464.89583,0,0,,
776,44464.90278,0,0,,
777,44464.90972,0,0,,
778,44464.91667,0,0,,
779,44464.92361,0,0,,
780,44464.93056,1,0,,
781,44464.9375,-1,pos,,
782,44464.94444,0,0,,
783,44464.95139,0,0,,
784,44464.95833,0,0,,
785,44464.96528,0,0,,
786,44464.97222,1,0,,
787,44464.97917,0,0,,
788,44464.98611,-1,0,,
789,44464.99306,0,0,,
790,44465,0,0,,
791,44465.00694,0,0,,
792,44465.01389,0,0,,
793,44465.02083,1,0,,
794,44465.02778,-1,pos,,
795,44465.03472,1,0,,
796,44465.04167,-1,pos,,
797,44465.04861,0,0,,
798,44465.05556,0,0,,
799,44465.0625,1,0,,
800,44465.06944,-1,pos,,
801,44465.07639,1,0,,
802,44465.08333,-1,pos,,
803,44465.09028,1,0,,
804,44465.09722,-1,pos,,
805,44465.10417,1,0,,
806,44465.11111,-1,pos,,
807,44465.11806,-2,0,,
808,44465.125,-2,0,,
809,44465.13194,-2,0,,
810,44465.13889,-2,0,,
811,44465.14583,-1,0,,
812,44465.15278,-1,0,,
813,44465.15972,-1,0,,
814,44465.16667,0,0,,
815,44465.17361,0,0,,
816,44465.18056,0,0,,
817,44465.1875,0,0,,
818,44465.19444,2,0,,
819,44465.20139,1,0,,
820,44465.20833,1,0,,
821,44465.21528,1,0,,
822,44465.22222,1,0,,
823,44465.22917,1,0,,
824,44465.23611,0,0,,
825,44465.24306,1,0,,
826,44465.25,0,0,,
827,44465.25694,1,0,,
828,44465.26389,0,0,,
829,44465.27083,0,0,,
830,44465.27778,1,0,,
831,44465.28472,0,0,,
832,44465.29167,0,0,,
833,44465.29861,0,0,,
834,44465.30556,1,0,,
835,44465.3125,0,0,,
836,44465.31944,0,0,,
837,44465.32639,0,0,,
838,44465.33333,0,0,,
839,44465.34028,0,0,,
840,44465.34722,0,0,,
841,44465.35417,0,0,,
842,44465.36111,0,0,,
843,44465.36806,0,0,,
844,44465.375,0,0,,
845,44465.38194,0,0,,
846,44465.38889,0,0,,
847,44465.39583,0,0,,
848,44465.40278,0,0,,
849,44465.40972,0,0,,
850,44465.41667,0,0,,
851,44465.42361,1,0,,
852,44465.43056,0,0,,
853,44465.4375,0,0,,
854,44465.44444,0,0,,
855,44465.45139,0,0,,
856,44465.45833,0,0,,
857,44465.46528,0,0,,
858,44465.47222,0,0,,
859,44465.47917,0,0,,
860,44465.48611,0,0,,
861,44465.49306,0,0,,
862,44465.5,0,0,,
863,44465.50694,0,0,,
864,44465.51389,0,0,,
865,44465.52083,0,0,,
866,44465.52778,0,0,,
867,44465.53472,0,0,,
868,44465.54167,0,0,,
869,44465.54861,0,0,,
870,44465.55556,0,0,,
871,44465.5625,0,0,,
872,44465.56944,0,0,,
873,44465.57639,0,0,,
874,44465.58333,0,0,,
875,44465.59028,0,0,,
876,44465.59722,0,0,,
877,44465.60417,0,0,,
878,44465.61111,0,0,,
879,44465.61806,0,0,,
880,44465.625,0,0,,
881,44465.63194,0,0,,
882,44465.63889,0,0,,
883,44465.64583,0,0,,
884,44465.65278,0,0,,
885,44465.65972,-1,0,,
886,44465.66667,0,0,,
887,44465.67361,0,0,,
888,44465.68056,0,0,,
889,44465.6875,0,0,,
890,44465.69444,0,0,,
891,44465.70139,-1,0,,
892,44465.70833,-3,0,,
893,44465.71528,-2,0,,
894,44465.72222,-2,0,,
895,44465.72917,-1,0,,
896,44465.73611,-1,0,,
897,44465.74306,-1,0,,
898,44465.75,0,0,,
899,44465.75694,0,0,,
900,44465.76389,-1,0,,
901,44465.77083,0,0,,
902,44465.77778,2,0,,
903,44465.78472,1,0,,
904,44465.79167,1,0,,
905,44465.79861,1,0,,
906,44465.80556,1,0,,
907,44465.8125,1,0,,
908,44465.81944,0,0,,
909,44465.82639,1,0,,
910,44465.83333,0,0,,
911,44465.84028,1,0,,
912,44465.84722,0,0,,
913,44465.85417,1,0,,
914,44465.86111,0,0,,
915,44465.86806,0,0,,
916,44465.875,1,0,,
917,44465.88194,0,0,,
918,44465.88889,0,0,,
919,44465.89583,-3,0,,
920,44465.90278,-2,0,,
921,44465.90972,-2,0,,
922,44465.91667,-2,0,,
923,44465.92361,-1,0,,
924,44465.93056,-2,0,,
925,44465.9375,-1,0,,
926,44465.94444,-1,0,,
927,44465.95139,-1,0,,
928,44465.95833,-1,0,,
929,44465.96528,-1,0,,
930,44465.97222,-1,0,,
931,44465.97917,-1,0,,
932,44465.98611,-3,0,,
933,44465.99306,-1,0,,
934,44466,0,0,,
935,44466.00694,0,0,,
936,44466.01389,0,0,,
937,44466.02083,0,0,,
938,44466.02778,1,0,,
939,44466.03472,1,0,,
940,44466.04167,3,0,,
941,44466.04861,1,0,,
942,44466.05556,1,0,,
943,44466.0625,0,0,,
944,44466.06944,1,0,,
945,44466.07639,0,0,,
946,44466.08333,0,0,,
947,44466.09028,-1,0,,
948,44466.09722,-2,0,,
949,44466.10417,-1,0,,
950,44466.11116,2,0,,
951,44466.11127,0,0,,
952,44466.11806,1,0,,
953,44466.125,1,0,,
954,44466.13194,1,0,,
955,44466.13889,0,0,,
956,44466.14583,1,0,,
957,44466.15278,2,0,,
958,44466.15972,1,0,,
959,44466.16667,0,0,,
960,44466.17361,1,0,,
961,44466.18056,1,0,,
962,44466.1875,0,0,,
963,44466.19444,1,0,,
964,44466.20139,-1,pos,,
965,44466.20833,-1,0,,
966,44466.21528,-1,0,,
967,44466.22222,-1,0,,
968,44466.22917,1,0,,
969,44466.23611,0,0,,
970,44466.24306,1,0,,
971,44466.25,1,0,,
972,44466.25694,0,0,,
973,44466.26389,-3,0,,
974,44466.27083,0,0,,
